,PropertyName,LocationAdvantages,Link
0,Smartworld One DXP,"{'Bajghera Road': '800 Meter', 'Palam Vihar Halt': '2.5 KM', 'DPSG Palam Vihar': '3.1 KM', 'Park Hospital': '3.1 KM', 'Gurgaon Railway Station': '4.9 KM', 'The NorthCap University': '5.4 KM', 'Dwarka Expy': '1.2 KM', 'Hyatt Place Gurgaon Udyog Vihar': '7.7 KM', 'Dwarka Sector 21, Metro Station': '7.2 KM', 'Pacific D21 Mall': '7.4 KM', 'Indira Gandhi International Airport': '14.7 KM', 'Hamoni Golf Camp': '6.2 KM', 'Fun N Food Waterpark': '8.8 KM', 'Accenture DDC5': '9 KM'}",https://www.99acres.com/smartworld-one-dxp-sector-113-gurgaon-npxid-r400415
1,M3M Crown,"{'DPSG Palam Vihar Gurugram': '1.4 Km', 'The NorthCap University': '4.4 Km', 'Park Hospital, Palam Vihar': '1.4 Km', 'Pacific D21 Mall': '8.2 Km', 'Palam Vihar Halt Railway Station': '1.2 Km', 'Dwarka Sector 21 Metro Station': '8.1 Km', 'Dwarka Expressway': '450 m', 'Fun N Food Water Park': '8.1 Km', 'Indira Gandhi International Airport': '14.1 Km', 'Tau DeviLal Sports Complex': '11.2 Km', 'Hamoni Golf Camp': '5 Km', 'Hyatt Place': '6.1 Km', 'Altrade Business Centre': '11.2 Km'}",https://www.99acres.com/m3m-crown-sector-111-gurgaon-npxid-r404068
2,Adani Brahma Samsara Vilasa,"{'AIPL Business Club Sector 62': '2.7 Km', 'Heritage Xperiential Learning School': '2 Km', 'CK Birla Hospital': '2.5 Km', 'Paras Trinity Mall Sector 63': '3.5 Km', 'Rapid Metro Station Sector 56': '3.8 Km', 'De Adventure Park': '6.8 Km', 'Golf Course Ext Rd': '99 Meter', 'DoubleTree by Hilton Hotel Gurgaon': '3.6 Km', 'KIIT College of Engineering Sohna Road': '8.4 Km', 'Mehrauli-Gurgaon Road': '11.8 Km', 'Indira Gandhi International Airport': '21.1 Km', 'Nirvana Rd': '160 Meter', 'TERI Golf Course': '8.7 Km'}",https://www.99acres.com/adani-brahma-samsara-vilasa-sector-63-gurgaon-npxid-r327995
3,Sobha City,"{'The Shikshiyan School': '2.9 KM', 'WTC Plaza': '4 KM', 'Luxus Haritma Resort': '4.2 KM', 'BSF Golf Course': '4.7 KM', 'Dwarka Expressway': '5.1 Km', 'Rions Hospital': '5.6 Km', 'Gurgaon': '5.9 KM', 'The NorthCap University': '9.2 KM', 'Dwarka Sector 21': '9.9 KM', 'Nehru Stadium': '10.7  KM', 'Fun N Food WaterPark': '12.1 KM', 'IGI Airport': '19.3 Km', 'Vasant Kunj': '20.8 KM'}",https://www.99acres.com/sobha-city-sector-108-gurgaon-npxid-r256111
4,Signature Global City 93,"{'Pranavananda Int. School': '450 m', 'DLF Site central office': '1.2 Km', 'Holiday Inn Gurugram Sector 90': '2 Km', 'Krishna Hospital': '2.3 Km', 'Royal Institute Of Science': '2.4 Km', 'Sapphire 83 Mall': '6.3 Km', 'NH48': '6.9 Km', 'Garhi Harsaru Junction': '7.2 Km', 'Manesar Golf Course': '7.3 Km', 'AapnoGhar': '9.6 Km', 'IGI Airport': '31 Km'}",https://www.99acres.com/signature-global-city-93-sector-93-gurgaon-npxid-r404456
5,Whiteland The Aspen,"{'Vega Schools NH-8': '650 Meter', 'DLF Corporate Greens': '6.2 Km', 'Miracles Apollo Cradle Hospital': '6 Km', 'Sapphire 83 Mall': '3.7 Km', 'Hyatt Regency Gurugram': '3.9 Km', 'NH 48': '3.3 Km', 'Garhi Harsaru Junction': '11.1 Km', 'Indira Gandhi International Airport': '25.9 Km', 'Tau DeviLal Sports Complex': '10.4 Km', 'Golden Greens Golf & Resorts Limited': '9.2 Km', 'De Adventure Park': '8.8 Km'}",https://www.99acres.com/whiteland-the-aspen-sector-76-gurgaon-npxid-r403309
6,Bestech Altura,"{'Mount Olympus Junior School': '1 Km', 'Miracles Apollo Hospital': '4.8 Km', 'Sapphire 83 Mall': '5.4 Km', 'NH -8': '6.5 Km', 'Savoy Suites, Manesar': '6.9 Km', 'Golden Greens Golf & Resorts': '8.2 Km', 'IMT Manesar': '9.2 Km', 'Amity University Gurugram': '12 Km', 'Golf Course Extension Road': '13.6 Km', 'Indira Gandhi International Airport': '31 Km'}",https://www.99acres.com/bestech-altura-sector-79-gurgaon-npxid-r262010
7,Elan The Presidential,"{'Dwarka Expy, Sector 109': '850 Meter', 'Euro International School, Sector- 109': '1.9 KM', 'Jai Sai Ram Hospital': '2.4 KM', 'Aryan Hospital': '5.6 KM', 'Idea Cosmic Plaza': '6 KM', 'The NorthCap University': '7.2 KM', 'Indira Gandhi Intl Airport': '17.8 KM', 'Gurgaon Railway Station': '3.2 KM'}",https://www.99acres.com/elan-the-presidential-sector-106-gurgaon-npxid-r400451
8,Signature Global City 92,"{'Royal Institute Of Science & Management': '1.4 KM', 'Pataudi Road': '3.3 KM', 'Holiday Inn Sector 90': '3.5 KM', 'RPS International School': '3.8 KM', 'Garhi Harsaru Junction': '3.9 KM', 'Aarvy Healthcare Hospital': '4 KM', 'Iris Broadway Mall': '4.8 KM', 'IMT Manesar': '6.6 KM', 'Dwarka Expressway': '6.6 KM', 'Indira Gandhi Intl Airport': '32.5 KM'}",https://www.99acres.com/signature-global-city-92-sector-92-gurgaon-npxid-r379657
9,Emaar Digihomes,"{'Imperia Mindspace': '140 Meter', 'AIPL Business Tower': '160 Meter', 'Heritage School': '1.3 KM', 'Lotus Valley Intl School, Gurgaon': '2.6 KM', 'Gurugram University': '3.6 KM', 'Sector 55-56 Metro Station': '3.9 KM', 'Park Hospital': '5.5 KM', 'Omaxe Gurgaon Mall': '5.8 KM', 'Sushant University': '6.1 KM', 'Badshahpur Sohna Rd Hwy,Sector 48': '7.5 KM', 'Indira Gandhi Intl Airport': '24.8 KM'}",https://www.99acres.com/emaar-digihomes-sector-62-gurgaon-npxid-r333369
